"Струкрута команды zip","zip options z_name file file"
"Добавить file.txt в z.zip (создать если нужно)","zip z file.txt"
"Удалить файл file.txt из архива z.zip","zip -d z file.txt"
"Архивировать всё файлы в текущей директории.","zip z *"
"Архивировать текущую папку. Включая вложенные."zip -r z ."
"Архивировать текущую папку. Исключить '*.zip'.","zip -r z . -x '*.zip'"
"Архивировать текущую папку. Исключить папку 'docs/*' (для вложенных указывать полный путь).","zip -r z . -x 'docs/*'"
"Архивировать текущую папку. Разбить архив на части по 10Мб ( k=KB, m=MB, g=GB, t=TB).","zip -r z . -s 10m"
"Архивировать текущую папку. Задать пароль 123.","zip -r z . -P 123"
"Извлечь все содержимое архива z.zip в текущий каталог.","unzip z"
"Извлечь все содержимое архива z.zip в tmp","unzip -d tmp z"
