Виды речи;Устная речь, письменная речь и речь про себя.
Устная речь;Слушание. Говорение. Речь которую мы слышим и произносим.
Письменная речь;Чтение. Письмо. Речь написанная, которую мы читаем и пишем.
Речь про себя;Наша внутренняя речь. Используем когда думаем, размышляем не произнося мысли вслух, когда читаем про себя.
Диалог; Речь (разговор) двух или нескольких лиц
Моголог;Речь одного лица, обращённая к слушателям или к самому себе
Текст;Высказывание, состоящее из двух или нескольких предложений. Предложения в тексте объединены общей темой и связаны между собой по смыслу. Текст можно озаглавить.
Тема текста;То, о чём или о ком говорится в тексте
Главная мысль текста;Гланое о чём хотел сказать автор читателю
Слова в предложении связаны между собой по смыслу;
Части текста;Начало текста готовит читателя к чтению. В основной части говорится о главном. Концовка завершает текст. Каждая часть текста пишется с красной строки.
Предложение;Слово или несколько слов, которые выражают законченную мысль.
Главные члены предложения;Подлежащее и сказуемое
Грамматическая основа предложения;Подлежащее и сказуемое
Подлежащее;Главный член предложения. Обозначает О КОМ или О ЧЁМ говорится в предложении. Отвечает на вопросы: "Кто?" или "Что?". Подчёркивается ОДНОЙ чертой.
Сказуемое;Главный член предложения. Обозначает ЧТО ГОВОРИТСЯ в предложении О ПОДЛЕЖАЩЕМ. Отвечает на вопросы: "Что делал?", "Что делает?", "Что сделает?". Подчёркивается ДВУМЯ чертами.
Второстепенные члены предложения;Слова, которые поясняют и уточняют главные члены предложения.
НЕраспространённое предложение;Предложение состоит только из главных членов
Распространённое предложение;Предложение состоит из главных и второстепенных членов
