:ls;Список буферов
:b {name};Открыть буфер по имени
:b name{tab};Открыть буфер по имени с подсказкой
:bd;Удалить буфер
:bm;Перейти к не сохранённому буферу (modified)
:bufdo {cmd};Выполнить команду для всех буферов
:bufdo tab split;Открыть каждый буфер в новой вкладке
:sp[lit] file;Открыть буфер в гор. окне
:vs[plit] file;Открыть буфер в верт. окне
:bn;Перейти к СЛЕДУЮЩЕМУ буферу
:bp;Перейти к ПРЕДЫДУЩЕМУ буферу
:bf[irst];Перейти к ПЕРВОМУ буферу
:bl[ast];Перейти к ПОСЛЕДНЕМУ буферу
:b5;Перейти к 5-му буферу
