:edit
:execute
:find {файл},Найти {файл} в одном из каталогов, указанных в опции
:fold
:print
:read
:shell,Сворачивает Vim и выходит в оболочку Bash. Чтобы вернуться в Vim нужно набрать exit
:term bash,Открывает окно с терминалом. Сохраняет весь вывод в буфер после выхода.
:term,Открывает окно с терминалом. Закрывается после выхода - exit.
:update,Cохранить файл если он изменен
:write
:[range]delete[x],Удалит указанные строки [в регистр x]
:[range]yank[x],Скопирует указанные строки [в регистр x]
:[line]put[x],Вставит текст из регистра x после указанной строки
:[range]copy{address},Скопирует указанные строки ниже строки с номером {address}
:[range]move{address},Переместит указанные строки ниже строки с номером {address}
:[range]join,Объединит указанные строки
:[range]normal{commands},Выполнит команду {commands} командного режима для каждой указанной строки
:[range]substitute/{pattern}/ {string}/[flags],Заменит вхождения {pattern} последовательностью символов {string} в каждой указанной строке
:[range]global/{pattern}/[cmd],Выполнит команду [cmd] для всех строк из числа указанных, где найдено вхождение {pattern}
