"Поставить метку","m{a-zA-Z0-9}"
"Перейти к метке","`{a-zA-Z0-9}"
"Список меток",":marks"
"Удалить метку",":delmarks a"
"Удалить все локальные метки",":delmarks!"
"Перейти к позиции - последнее место правки в текущем буфере","`."
"Перейти к позиции - последнее место правки перед выходом из текущего буфера","`"""
"Перейти к позиции - последнее место правки в последнем файле перед выходом из Vim","`0"
"Как `0, но предыдущий файл (также `2-`9)","`1"
"Назад к строке - место перед прыжком в текущем буфере","''"
"Назад к позиции - место перед последним прыжком в текущем буфере","``"
"К началу/концу последнего изменения или копирования текста","`[ or `]"
"К началу/концу последнего выделения","`< or `>"
