:marks;Список меток
m{a-zA-Z};Поставить метку
`{a-zA-Z};Перейти к метке точно
'{a-zA-Z};Перейти к строке с меткой
:delm[arks] a;Удалить метку a
:delm[arks]!;Удалить все локальные метки
`. (метки);Последнее место правки в текущем буфере
A-Z (метки);Глобальные метки доступны из любого буфера
a-z (метки);Локальнае метки доступны только в текущем буфере
0-9 (метки);Последние редактируемые файлы перед выходом из Vim
`0 (глобальная метка);Последний редактируемый файл перед выходом из Vim(`0-`9)
`[ и `] (метки);Начало и конец последнего изменения или копирования текста
`< и `> (метки);Начало и конец последнего выделения
