w (motions),Вперёд на слово
W (motions),Вперёд на СЛОВО
b (motions),Назад на слово
B (motions),Назад на СЛОВО
f{char} (motions),Вперёд к символу
F{char} (motions),Назад к символу
t{char} (motions),Вперёд до символа
T{char} (motions),Назад до символа
} (motions),Вперёд к параграфу
{ (motions),Назад к параграфу
) (motions),Вперёд к предложению
( (motions),Назад к предложению
; (motions),Повтор вперёд к/до символа
"," (motions),Повтор назад к/до символа
$ (motions),В конец строки
0 (motions),В начало строки
^ (motions),К первому непробельному символу в строке
e (motions),Вперёд к концу слова
ge (motions),Назад к концу слова
gE (motions),Назад к концу СЛОВА
j (motions),На одну фактическую строку вниз
gj (motions),На одну экранную строку вниз
k (motions),На одну фактическую строку вверх
gk (motions),На одну экранную строку вверх
0 (motions),К первому символу в фактической строке
^,К первому непробельному символу в фактической строке
g^,К первому непробельному символу в экранной строке
$,К концу фактической строки
g$,К концу экранной строки
