w;Вперёд на слово
W;Вперёд на СЛОВО
b;Назад на слово
B;Назад на СЛОВО
f{char};Вперёд к символу
F{char};Назад к символу
t{char};Вперёд до символа
T{char};Назад до символа
};Вперёд к параграфу
{;Назад к параграфу
);Вперёд к предложению
(;Назад к предложению
";";Повтор вперёд к/до символа
,;Повтор назад к/до символа
$;В конец строки
0 ноль;В начало строки
^;К первому непробельному символу в строке
e;Вперёд к концу слова
ge;Назад к концу слова
gE;Назад к концу СЛОВА
j;На одну фактическую строку вниз
gj;На одну экранную строку вниз
k;На одну фактическую строку вверх
gk;На одну экранную строку вверх
0;К первому символу в фактической строке
^;К первому непробельному символу в фактической строке
g^;К первому непробельному символу в экранной строке
$;К концу фактической строки
g$;К концу экранной строки
