"Открыть менеджер в корневом каталоге",":e."
"Открыть менеджер с корнем в папке текущего файла",":Explore"
"Открыть менеджер в гор. окне выше",":Sexplore"
"Открыть менеджер в гор. окне ниже",":Hexplore"
"Открыть/закрыть менеджер слева на всю высоту",":Lexplore"
"Открыть менеджер в вертикальном окне",":Vexplore"
"Открыть менеджер в новой вкладке",":Texplore"
"Открыть файл в верт. окне","v"
"Открыть файл в гор. окне","o"
"Открыть файл во вкладке","t"
"Быстрый просмотр файла","p"
"Закрыть окно быстрого просмотра",":pc"
"Создать и открыть файл","%"
"Создать папку","d"
"Переименовать","R"
"Удалить файл/папку","D"
"Вверх","-"
"Переключить вид","i"
"Переключиться с netrw на буфер и обратно","<C-^>"
"Пометить целевую папку","mt"
"Пометить/Снять метку с файла","mf"
"Сделать корневой папкой","c"
"Копировать помеченные файлы в целевую папку","mc"
"Переместить помеченные файлы в целевую папку","mm"
"Сравнить файлы максимум 3","md"
"Сжать/Распаковать каждый помеченный файл file.gz","mz"
"Сбросить выделение со всех файлов в папке","mF"
"Сбросить выделение со всех файлов глобально","mu"
