:set spell;Включить проверку орфографии
]s;К следующей ошибке
[s;К предыдущей ошибке
z=;Показать варианты исправления ошибки
1z=;Исправить ошибку первым вариантом
<C-x>s или <C-x><C-s> (режим вставки);Показать варианты исправлений (режим вставки)
<C-n> (режим вставки);Вниз - в выпадающем списке (режим вставки)
<C-p> (режим вставки);Вверх - в выпадающем списке (режим вставки)
Esc или <C-[> (режим вставки);Закрыть выпадающий список (режим вставки)
zg;Добавить текущее слово в словарь
zug;Отменить команду zg
zw;Удалить слово из словаря
zuw;Отменить команду zw
:set spelllang=ru;Задать язык проверки (Настройки)
~/.vim/spell/ru.utf-8.spl;Словарь по умолчанию (Настройки)
:set spellfile=~/.vim/spell/ru.utf-8.add;Задать 1-й отдельный словарь для добавления/удаления слов zg zw (Настройки)
:set spellfile+=terms.utf-8.add;Задать 2-й отдельный словарь для терминов в папке с проектом (Настройки)
2zg;Добавить слово во 2-й словарь терминов
http://ftp.vim.org/vim/runtime/spell/;Ссылка на словари
:set nospell;Отключить проверку орфографии (Настройки)
