CTRL-W hjkl,Переход по окнам
CTRL-W HJKL,Переместить окно
CTRL-W s,Разделить окно горизонтально
CTRL-W n,Создать новое окно
CTRL-W v,Разделить окно вертикально
CTRL-W r,Вращать окна
CTRL-W T,Окно в таб
CTRL-W w,Рекурсивный обход окон
CTRL-W =,Выровнять размеры окон
CTRL-W +,Увеличить ВЫСОТУ окна на 1 строку
CTRL-W -,Уменьшить ВЫСОТУ окна на 1 строку
CTRL-W >,Увеличить ШИРИНУ окна на 1 строку
CTRL-W <,Уменьшить ШИРИНУ окна на 1 строку
CTRL-W _,Увеличить ВЫСОТУ окна до предела
CTRL-W |,Увеличить ШИРИНУ окна до предела
CTRL-W o,Закрыть все окна кроме активного
CTRL-W c,Закрыть окно
:on[ly],Закрыть все окна кроме активного
:clo[se],Закрыть окно
:term bash,Открыть окно терминала
vim -o file1 file2,Запустить vim несколько файлов в разных окнах
Ширина моего монитора Acer в строках?,214
