CTRL-W hjkl;Переход по окнам
CTRL-W HJKL;Переместить окно
CTRL-W s;Разделить окно горизонтально
CTRL-W v;Разделить окно вертикально
CTRL-W r;Вращать окна
CTRL-W T;Окно в таб
CTRL-W w;Рекурсивный обход окон
CTRL-W =;Выровнять размеры окон
CTRL-W n+;Увеличить ВЫСОТУ окна
CTRL-W n-;Уменьшить ВЫСОТУ окна
CTRL-W n>;Увеличить ШИРИНУ окна
CTRL-W n<;Уменьшить ШИРИНУ окна
CTRL-W _;Распахнуть активное окно на N строк по высоте
CTRL-W |;Распахнуть активное окно на N колонок по ширине 
CTRL-W o;Закрыть все окна кроме активного
CTRL-W c;Закрыть окно
:only;Закрыть все окна кроме активного
:close;Закрыть окно
:term bash;Открыть окно терминала
vim -o file1 file2;Запустить vim несколько файлов в разных окнах
Ширина моего монитора Acer в строках?;214
